Sr.,Station,day,month,year,CO,NO2,SO2,Temperature,Humudity,Noise,O3,Uray,AQI,PM2_5,PM10
1,10,26,1,2022,0.57,6.05,2.04,26.11,55.1,67.77,86.97252,2,49,25.35,86.97
2,10,27,1,2022,0.64,3.4,2.04,28.6,53.9,76.8,78.82828,4,91,27.18,78.82
3,10,28,1,2022,0.62,1.42,2.04,22.43,55.82,67.77,71.90137,5,59,25.02,71.9
4,10,29,1,2022,0.71,1.78,2.04,26.11,57.7,66.3,68.18344,7,63,21.62,68.18
5,10,30,1,2022,0.63,4,2.04,29.65,57.65,76.4,86.31192,4,75,19.28,86.31
6,10,31,1,2022,0.49,8.68,2.04,27.71,53.9,70.16,48.90504,3,73,17.16,48.9
7,10,1,2,2022,0.6,1.86,1.42,30.35,58.14,76.8,77.5798,6,93,13.52,77.57
8,10,2,2,2022,0.43,14.03,0.01,22.43,58.74,67.77,47.70105,4,87,14.09,47.7
9,10,3,2,2022,0.62,11.08,0.02,26.11,57.37,66.3,82.51408,8,52,27.82,82.51
10,10,4,2,2022,0.57,6.05,2.04,27.71,58.74,76.4,86.97252,6,72,17.91,86.97
11,10,5,2,2022,0.49,5.69,2.04,27.65,58.32,70.16,51.73804,4,64,27.18,51.73
12,10,6,2,2022,0.69,3.13,2.04,22.43,56.58,68.35,44.90075,3,75,28.85,44.9
13,10,7,2,2022,0.62,6.38,2.04,26.11,62.54,70.82,56.19204,7,73,10.53,56.19
14,10,8,2,2022,0.51,7.62,1.2,29.24,57.37,70.43,46.31665,3,93,16.74,46.31
15,10,9,2,2022,0.53,7.54,2.04,22.43,65.53,76.68,59.24069,5,87,13.25,59.24
16,10,10,2,2022,0.5,8.85,2.04,26.11,60.06,73.07,68.24446,2,52,19.83,68.24
17,10,11,2,2022,0.53,2.77,1.2,29.65,61.54,73.98,69.04877,4,72,17.24,69.04
18,10,12,2,2022,0.56,37.7,0.03,27.71,54.48,76.8,73.32785,6,64,19.03,73.32
19,10,13,2,2022,0.6,1.1,0.01,32.84,51.24,67.77,64.41218,3,46,18.37,64.41
20,10,14,2,2022,1.06,2.14,0.01,31.29,38.91,66.3,150.15589,2,61,14.87,150.15
21,10,15,2,2022,0.59,5.5,2.04,32.98,62.54,76.4,104.07673,4,71,40.43,104.07
